groupid;url;title;review_id;sentence_id;text;annotation 1;annotation 2;annotation 3;label
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;1;1;Bio sam u ambulanti kad je još bio mladi doktor i radio s doktorom Mišom Viragom.;neutral;neutral;neutral;neutral
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194 ;Ivica Lukšić;1;2;Oba su odlični i dr Lukšić imao dobrog učitelja.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;1;3;Već njegov prvi nastup odaje finog i kulturnog čovjeka.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;1;4;Svaka čast;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;2;1;Nemam dovoljno rijeci hvale za ovog covjeka.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;2;2;Nakon zaista losih i traumaticnih iskustava zbog kojih sam ponovni posjet maksilofacijalnom kirurgu odgadjala preko desetljeca, otisla sam kod dr. Luksica na preporuku poznanice i vjerujem da je to bio najbolji potez za moje mentalno stanje i suocavanje s vlastitim traumama.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;2;3;Napokon doktor kakav bi svaki doktor trebao biti, profesionalac kod kojeg se osjecate kao osoba, a ne samo kao jedan pacijent u nizu.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;2;4;Usprkos brojnim pacijentima i velikoj guzvi tijekom svakog dolaska, nikad nisam osjetila zurbu i nezainteresiranost.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;2;5;Toplina pristupa i osjecaj da vas netko zaista slusa i cuje su toliko potrebni u trenucima kada svoje lice odlucite podvrgnuti jos jednoj operaciji u nizu, a da vise niste ni sami svjesni mozete li se s tim nositi.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;2;6;Hvala doktoru Luksicu sto mi je vratio vjeru u lijecnike i ljude, i moram takodjer pohvaliti cijelo osoblje odjela maksilofacijalne kirurgije KB Dubrava, kao i lijecnikov pristup u radu sa studentima koji su bili prisutni tijekom svakog mog dolaska.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;2;7;Provesti po pet sati u autobusu u jednom smjeru nekoliko puta da bih dosla na preglede i kontrole nije bio nikakav problem jer sam vec nakon prvog susreta znala da sam u dobrim rukama i da nema sanse da iz ordinacije izidjem osjecajuci se kao sto sam se previse puta osjecala kod drugih lijecnika - malom i nebitnom.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;2;8;Apsolutne preporuke za lijecnika koji je prije svega Covjek, a onda tek pravi profesionalac i carobnjak u svojoj struci.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;3;1;"Ne mogu se pronaći riječi koje bi barem izbliza opisale izuzetnost prof. Ivice Lukšića, u svakom smislu; kao čovjeka i kao liječnika.";positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;3;2;Majci je odstranio zloćudni tumor s lica, te se nadljudskim naporima potrudio rekonstruirati zahvaćeni dio na estetski vrlo prihvatljiv način.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;3;3;Naša zahvalnost se ne može izmjeriti ni najvišom ocjenom, te od srca preporučamo profesora kao i njegov tim na Odjelu.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;4;1;Izuzetan covjek i lijecnik.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;4;2;Uvijek je tu.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;4;3;Da je barem jos takovih lijecnika.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;4;4;To se dogadja jednom u zivotu;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;5;1;Doc.dr.sc. Ivica Lukšić,veliki čovijek,gospodin i stručnjak.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;5;2;Operirao mi je zločudni tumor na bradi (več bile dvije operacije u varaždinskoj bolnici).;neutral;neutral;neutral;neutral
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;5;3;"Moram priznati da sam od prvog susreta sa cijenjenim doktorom u Kb. Dubrava,doživio nešto što i nije česti slučaj u našim bolnicama,a to je ""evropski način"" pristupa pacijentu,ljubaznost,iskrenost,dobrota,..koja puno znači u teškim trenucima.";positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;5;4;Zaista doktor kojeg bih preporućio svakome,kome je to potrebno.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;6;1;Sve pohvale doc. dr. sc. Ivici Luksicu na strucnosti i ljubaznosti a prije svega na toplini kojom docekuje svoje male pacijente.;positive;positive;positive;positive
4;https://najdoktor.com/Ivica-Luk%C5%A1i%C4%87/d10194;Ivica Lukšić;6;2;Operirao je moje dvoje djece, sina kad mu je bilo 6 godina (tumor na jeziku) i kcer od 7 mjeseci (dermoidna cista na zatiljku) i moram reci da se rijetko u zivotu sretne doktor s tako velikim srcem.;positive;positive;positive;positive
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;7;1;Doktor po drugi put odbija pregled, odbija ljecenje i davanje uputnice na temelju vec uradjenih nalaza koji su izuzetno losi.;negative;negative;negative;negative
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;7;2;Uzasno neljubazan i nezainteresiran za bilo kakvo pitanje i brigu pacijentice.;negative;negative;negative;negative
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;7;3;Izbjegavajte ga u sirokom luku!;negative;negative;negative;negative
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;8;1;Doktor je, u najmanju ruku, osoba koju ovaj posao uopće ne zanima.;negative;negative;negative;negative
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;8;2;Utvrdi pacijentici jednu dijagnozu, a onda na molbe pacijentice za daljnje pretrage se oglušuje i jasno joj daje do znanja da ako želi detaljnije pretrage, ide privatno obaviti, on ne želi dati uputnicu.;negative;negative;negative;negative
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;8;3;Zgrožena sam, užas.;negative;negative;negative;negative
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;9;1;Divan doktor, pažljiv, nježan ..;positive;positive;positive;positive
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;9;2;za svaku preporuku!;positive;positive;positive;positive
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;10;1;Doktor je jedna isfrustrirana osoba koja najvise voli raditi s zenama koje ne postavljaju nikakva pitanja, sovinist koji ne moze podnijeti da zena ima isti stupanj obrazovanja poput njega, a kamo li visi.;negative;negative;mixed;negative
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;10;2;Ima diktatorski odnos prema pacijenticama, nema kompetencije postavljanja nikakve dijagnoze, ali ima kompetenciju laznog uznemiravanja trudnica.;negative;negative;negative;negative
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;11;1;Oduševljena sam na prvu,samim pristupom i profinjenom ljubaznošću kojom me doktor primio kao pacijenticu.;positive;positive;positive;positive
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;11;2;Profesionalno pristupa svom poslu,a samim pristupom već čini pola posla.;positive;positive;positive;positive
4;https://najdoktor.com/zvonimir-orsanic/d18618;Zvonimir Oršanić;11;3;Svaka čast!!;positive;positive;positive;positive
